gpt5_ID,gpt5_boundary_conscious_social_restraint
P001_S1_B1_L1,0.80
P001_S1_B1_L2,0.88
P001_S1_B1_L3,0.95
P001_S1_B1_L4,0.90
P001_S1_B1_L5,0.92
P001_S1_B1_L6,0.90
P001_S1_B1_L7,0.92
P001_S1_B1_L8,0.88
P001_S1_B2_L1,0.95
P001_S1_B2_L2,0.80
P001_S1_B2_L3,0.92
P001_S1_B2_L4,0.85
P001_S1_B2_L5,0.93
P001_S1_B2_L6,0.88
P001_S1_B2_L7,0.96
P001_S1_B2_L8,0.90
P001_S1_B3_L1,0.85
P001_S1_B3_L2,0.88
P001_S1_B3_L3,0.92
P001_S1_B3_L4,0.85
P001_S1_B3_L5,0.93
P001_S1_B3_L6,0.94
P001_S1_B3_L7,0.96
P001_S1_B3_L8,0.88
P001_S1_B4_L1,0.94
P001_S1_B4_L2,0.95
P001_S1_B4_L3,0.90
P001_S1_B4_L4,0.80
P001_S1_B4_L5,0.92
P001_S1_B4_L6,0.88
P001_S1_B4_L7,0.85
P001_S1_B4_L8,0.88
P001_S1_B5_L1,0.90
P001_S1_B5_L2,0.88
P001_S1_B5_L3,0.87
P001_S1_B5_L4,0.85
P001_S1_B5_L5,0.93
P001_S1_B5_L6,0.88
P001_S1_B5_L7,0.96
P001_S1_B5_L8,0.90
P001_S1_B5_L9,0.88
