gpt5_ID,gpt5_boundary_conscious_social_restraint
P004_S2_B1_L1,0.97
P004_S2_B1_L2,0.94
P004_S2_B1_L3,0.98
P004_S2_B1_L4,0.97
P004_S2_B1_L5,0.92
P004_S2_B1_L6,0.98
P004_S2_B1_L7,0.96
P004_S2_B1_L8,0.80
P004_S2_B1_L9,0.75
P004_S2_B2_L1,0.93
P004_S2_B2_L2,0.78
P004_S2_B2_L3,0.72
P004_S2_B2_L4,0.98
P004_S2_B2_L5,0.99
P004_S2_B2_L6,0.97
P004_S2_B2_L7,0.85
P004_S2_B2_L8,0.75
P004_S2_B2_L9,0.72
P004_S2_B3_L1,0.90
P004_S2_B3_L2,0.88
P004_S2_B3_L3,0.86
P004_S2_B3_L4,0.75
P004_S2_B3_L5,0.94
P004_S2_B3_L6,0.75
P004_S2_B3_L7,0.70
P004_S2_B3_L8,0.99
P004_S2_B3_L9,0.92
P004_S2_B3_L10,0.85
P004_S2_B4_L1,0.80
P004_S2_B4_L2,0.97
P004_S2_B4_L3,0.96
P004_S2_B4_L4,0.93
P004_S2_B4_L5,0.75
P004_S2_B4_L6,0.82
P004_S2_B4_L7,0.82
P004_S2_B4_L8,0.95
P004_S2_B4_L9,0.98
P004_S2_B5_L1,0.78
P004_S2_B5_L2,0.88
P004_S2_B5_L3,0.75
P004_S2_B5_L4,1.00
P004_S2_B5_L5,0.76
P004_S2_B5_L6,0.90
P004_S2_B5_L7,0.98
P004_S2_B5_L8,0.99
P004_S2_B5_L9,0.90
P004_S2_B5_L10,0.92
