gpt5_ID,gpt5_boundary_conscious_social_restraint
P003_S2_B1_L1,0.99
P003_S2_B1_L2,0.96
P003_S2_B1_L3,1.00
P003_S2_B1_L4,0.99
P003_S2_B1_L5,0.98
P003_S2_B1_L6,0.98
P003_S2_B1_L7,0.96
P003_S2_B1_L8,0.97
P003_S2_B1_L9,0.90
P003_S2_B2_L1,0.96
P003_S2_B2_L2,0.95
P003_S2_B2_L3,0.97
P003_S2_B2_L4,0.99
P003_S2_B2_L5,0.98
P003_S2_B2_L6,0.99
P003_S2_B2_L7,0.98
P003_S2_B2_L8,0.96
P003_S2_B2_L9,0.95
P003_S2_B2_L10,0.95
P003_S2_B3_L1,0.96
P003_S2_B3_L2,0.97
P003_S2_B3_L3,0.99
P003_S2_B3_L4,0.94
P003_S2_B3_L5,0.96
P003_S2_B3_L6,0.95
P003_S2_B3_L7,0.96
P003_S2_B3_L8,0.96
P003_S2_B3_L9,0.95
P003_S2_B4_L1,0.94
P003_S2_B4_L2,0.99
P003_S2_B4_L3,0.98
P003_S2_B4_L4,0.95
P003_S2_B4_L5,0.96
P003_S2_B4_L6,0.98
P003_S2_B4_L7,0.97
P003_S2_B4_L8,0.95
P003_S2_B4_L9,0.92
P003_S2_B4_L10,0.94
P003_S2_B5_L1,0.97
P003_S2_B5_L2,0.93
P003_S2_B5_L3,0.92
P003_S2_B5_L4,0.90
P003_S2_B5_L5,0.90
P003_S2_B5_L6,0.95
P003_S2_B5_L7,0.99
P003_S2_B5_L8,0.98
P003_S2_B5_L9,0.99
P003_S2_B5_L10,0.96
