gpt5_ID,gpt5_emotional_bandwidth_allocation
P002_S1_B1_L1,0.0
P002_S1_B1_L2,0.0
P002_S1_B1_L3,0.0
P002_S1_B1_L4,0.0
P002_S1_B1_L5,0.0
P002_S1_B1_L6,0.0
P002_S1_B1_L7,0.0
P002_S1_B1_L8,0.0
P002_S1_B2_L1,0.0
P002_S1_B2_L2,0.0
P002_S1_B2_L3,0.0
P002_S1_B2_L4,0.0
P002_S1_B2_L5,0.0
P002_S1_B2_L6,0.0
P002_S1_B2_L7,0.0
P002_S1_B2_L8,0.2
P002_S1_B3_L1,0.2
P002_S1_B3_L2,0.2
P002_S1_B3_L3,0.1
P002_S1_B3_L4,0.1
P002_S1_B3_L5,0.0
P002_S1_B3_L6,0.0
P002_S1_B3_L7,0.0
P002_S1_B3_L8,0.0
P002_S1_B4_L1,0.0
P002_S1_B4_L2,0.0
P002_S1_B4_L3,0.0
P002_S1_B4_L4,0.2
P002_S1_B4_L5,0.2
P002_S1_B4_L6,0.0
P002_S1_B4_L7,0.0
P002_S1_B4_L8,0.0
P002_S1_B5_L1,0.0
P002_S1_B5_L2,0.0
P002_S1_B5_L3,0.0
P002_S1_B5_L4,0.2
P002_S1_B5_L5,0.2
P002_S1_B5_L6,0.0
P002_S1_B5_L7,0.2
P002_S1_B5_L8,0.0
