gpt5_ID,gpt5_emotional_bandwidth_allocation
P004_S2_B1_L1,0.80
P004_S2_B1_L2,0.85
P004_S2_B1_L3,0.95
P004_S2_B1_L4,0.98
P004_S2_B1_L5,1.00
P004_S2_B1_L6,0.98
P004_S2_B1_L7,0.95
P004_S2_B1_L8,0.30
P004_S2_B1_L9,0.20
P004_S2_B2_L1,0.95
P004_S2_B2_L2,0.25
P004_S2_B2_L3,0.15
P004_S2_B2_L4,0.95
P004_S2_B2_L5,0.90
P004_S2_B2_L6,0.98
P004_S2_B2_L7,0.90
P004_S2_B2_L8,0.85
P004_S2_B2_L9,0.10
P004_S2_B3_L1,0.95
P004_S2_B3_L2,1.00
P004_S2_B3_L3,0.90
P004_S2_B3_L4,0.10
P004_S2_B3_L5,0.05
P004_S2_B3_L6,0.95
P004_S2_B3_L7,0.15
P004_S2_B3_L8,0.98
P004_S2_B3_L9,1.00
P004_S2_B3_L10,1.00
P004_S2_B4_L1,0.10
P004_S2_B4_L2,1.00
P004_S2_B4_L3,0.98
P004_S2_B4_L4,1.00
P004_S2_B4_L5,0.10
P004_S2_B4_L6,0.98
P004_S2_B4_L7,0.40
P004_S2_B4_L8,0.98
P004_S2_B4_L9,0.95
P004_S2_B5_L1,0.10
P004_S2_B5_L2,0.90
P004_S2_B5_L3,0.85
P004_S2_B5_L4,0.95
P004_S2_B5_L5,0.05
P004_S2_B5_L6,0.05
P004_S2_B5_L7,0.90
P004_S2_B5_L8,0.85
P004_S2_B5_L9,0.30
P004_S2_B5_L10,0.95
