gpt5_ID,gpt5_open_boundary_openness,gpt5_breath_self_regulation,gpt5_systems_policy_orientation
P002_S1_B1_L1,0.30,0.50,0.05
P002_S1_B1_L2,0.25,0.50,0.05
P002_S1_B1_L3,0.30,0.10,0.25
P002_S1_B1_L4,0.10,0.10,0.20
P002_S1_B1_L5,0.10,0.90,0.15
P002_S1_B1_L6,0.05,0.40,0.10
P002_S1_B1_L7,0.05,0.60,0.10
P002_S1_B1_L8,0.05,0.50,0.35
P002_S1_B2_L1,0.05,0.10,0.30
P002_S1_B2_L2,0.20,0.10,0.35
P002_S1_B2_L3,0.10,0.80,0.10
P002_S1_B2_L4,0.10,0.70,0.10
P002_S1_B2_L5,0.10,0.30,0.10
P002_S1_B2_L6,0.10,0.70,0.15
P002_S1_B2_L7,0.20,0.80,0.25
P002_S1_B2_L8,0.90,0.30,0.15
P002_S1_B3_L1,0.95,0.40,0.10
P002_S1_B3_L2,0.95,0.40,0.05
P002_S1_B3_L3,0.95,0.30,0.40
P002_S1_B3_L4,0.70,0.70,0.10
P002_S1_B3_L5,0.30,0.80,0.05
P002_S1_B3_L6,0.20,0.40,0.10
P002_S1_B3_L7,0.20,0.50,0.10
P002_S1_B3_L8,0.20,0.70,0.05
P002_S1_B4_L1,0.10,0.30,0.25
P002_S1_B4_L2,0.10,0.60,0.20
P002_S1_B4_L3,0.10,0.80,0.10
P002_S1_B4_L4,0.10,0.50,0.10
P002_S1_B4_L5,0.90,0.40,0.05
P002_S1_B4_L6,0.70,0.20,0.40
P002_S1_B4_L7,0.60,0.70,0.20
P002_S1_B4_L8,0.10,0.20,0.30
P002_S1_B5_L1,0.20,0.60,0.10
P002_S1_B5_L2,0.20,0.60,0.25
P002_S1_B5_L3,0.10,0.30,0.10
P002_S1_B5_L4,0.95,0.40,0.10
P002_S1_B5_L5,0.90,0.30,0.10
P002_S1_B5_L6,0.20,0.90,0.15
P002_S1_B5_L7,0.70,0.30,0.50
P002_S1_B5_L8,0.90,0.50,0.10
