gpt5_ID,gpt5_open_boundary_openness,gpt5_breath_self_regulation,gpt5_systems_policy_orientation
P004_S2_B1_L1,1.00,0.00,0.00
P004_S2_B1_L2,0.90,0.90,0.10
P004_S2_B1_L3,0.95,0.20,0.00
P004_S2_B1_L4,0.85,0.60,0.00
P004_S2_B1_L5,0.50,1.00,0.00
P004_S2_B1_L6,0.90,0.90,0.00
P004_S2_B1_L7,0.95,0.10,0.00
P004_S2_B1_L8,0.20,0.00,1.00
P004_S2_B1_L9,0.20,0.00,1.00
P004_S2_B2_L1,0.50,0.90,0.70
P004_S2_B2_L2,0.20,0.00,1.00
P004_S2_B2_L3,0.30,0.60,0.95
P004_S2_B2_L4,1.00,0.10,0.00
P004_S2_B2_L5,0.90,0.10,0.10
P004_S2_B2_L6,0.50,0.90,0.00
P004_S2_B2_L7,0.40,0.80,0.00
P004_S2_B2_L8,0.20,0.00,1.00
P004_S2_B2_L9,0.20,0.00,1.00
P004_S2_B3_L1,0.20,0.90,0.30
P004_S2_B3_L2,0.80,1.00,0.00
P004_S2_B3_L3,0.30,0.40,0.80
P004_S2_B3_L4,0.20,0.00,1.00
P004_S2_B3_L5,0.50,0.90,0.00
P004_S2_B3_L6,0.20,0.00,0.95
P004_S2_B3_L7,0.80,0.10,0.60
P004_S2_B3_L8,0.80,0.50,0.00
P004_S2_B3_L9,0.30,0.40,0.80
P004_S2_B3_L10,0.30,0.50,0.70
P004_S2_B4_L1,0.20,0.00,1.00
P004_S2_B4_L2,0.80,0.20,0.30
P004_S2_B4_L3,0.90,0.20,0.50
P004_S2_B4_L4,0.60,0.90,0.00
P004_S2_B4_L5,0.20,0.00,1.00
P004_S2_B4_L6,0.60,0.20,0.10
P004_S2_B4_L7,0.60,0.90,0.10
P004_S2_B4_L8,1.00,0.10,0.30
P004_S2_B5_L1,0.20,0.00,0.95
P004_S2_B5_L2,0.40,0.70,0.70
P004_S2_B5_L3,1.00,0.20,0.20
P004_S2_B5_L4,0.20,0.00,1.00
P004_S2_B5_L5,0.20,0.00,0.95
P004_S2_B5_L6,0.30,1.00,0.00
P004_S2_B5_L7,0.90,0.10,0.40
P004_S2_B5_L8,0.60,0.30,0.20
P004_S2_B5_L9,0.30,0.50,1.00
P004_S2_B5_L10,0.90,0.80,0.00
