gpt5_ID,gpt5_attention_state_oscillation,gpt5_physiological_monitoring_hypotheses,gpt5_performance_vigilance,gpt5_professional_boundary_awareness
P004_S2_B1_L1,0.20,0.10,0.10,0.95
P004_S2_B1_L2,0.60,0.50,0.10,0.90
P004_S2_B1_L3,0.60,0.60,0.10,0.95
P004_S2_B1_L4,0.80,0.70,0.10,0.85
P004_S2_B1_L5,0.90,0.70,0.20,0.40
P004_S2_B1_L6,0.50,0.40,0.10,0.95
P004_S2_B1_L7,0.20,0.10,0.10,0.95
P004_S2_B1_L8,0.10,0.00,0.20,0.05
P004_S2_B1_L9,0.10,0.00,0.20,0.05
P004_S2_B2_L1,0.90,0.60,0.50,0.20
P004_S2_B2_L2,0.10,0.00,0.10,0.05
P004_S2_B2_L3,0.50,0.60,0.10,0.20
P004_S2_B2_L4,0.60,0.20,0.10,0.98
P004_S2_B2_L5,0.60,0.20,0.10,0.95
P004_S2_B2_L6,0.70,0.40,0.10,0.90
P004_S2_B2_L7,0.60,0.20,0.20,0.20
P004_S2_B2_L8,0.10,0.00,0.10,0.05
P004_S2_B2_L9,0.10,0.00,0.10,0.05
P004_S2_B3_L1,0.90,0.70,0.30,0.20
P004_S2_B3_L2,0.85,0.60,0.20,0.20
P004_S2_B3_L3,0.50,0.30,0.20,0.20
P004_S2_B3_L4,0.10,0.00,0.10,0.05
P004_S2_B3_L5,0.85,0.70,0.30,0.20
P004_S2_B3_L6,0.10,0.00,0.10,0.05
P004_S2_B3_L7,0.10,0.00,0.10,0.05
P004_S2_B3_L8,0.40,0.20,0.10,0.95
P004_S2_B3_L9,0.90,0.70,0.40,0.20
P004_S2_B3_L10,0.10,0.00,0.10,0.05
P004_S2_B4_L1,0.10,0.00,0.10,0.05
P004_S2_B4_L2,0.40,0.20,0.20,0.70
P004_S2_B4_L3,0.60,0.30,0.50,0.50
P004_S2_B4_L4,0.80,0.60,0.20,0.20
P004_S2_B4_L5,0.10,0.00,0.10,0.05
P004_S2_B4_L6,0.85,0.70,0.40,0.20
P004_S2_B4_L7,0.10,0.00,0.10,0.05
P004_S2_B4_L8,0.90,0.70,0.60,0.20
P004_S2_B4_L9,0.60,0.30,0.20,0.90
P004_S2_B5_L1,0.40,0.30,0.20,0.20
P004_S2_B5_L2,0.60,0.60,0.20,0.20
P004_S2_B5_L3,0.50,0.20,0.20,0.98
P004_S2_B5_L4,0.10,0.00,0.10,0.05
P004_S2_B5_L5,0.10,0.00,0.10,0.05
P004_S2_B5_L6,0.80,0.70,0.40,0.20
P004_S2_B5_L7,0.40,0.20,0.20,0.60
P004_S2_B5_L8,0.50,0.30,0.20,0.95
P004_S2_B5_L9,0.10,0.00,0.10,0.05
P004_S2_B5_L10,0.60,0.40,0.20,0.60
