gpt5_ID,gpt5_attention_state_oscillation,gpt5_physiological_monitoring_hypotheses,gpt5_performance_vigilance,gpt5_professional_boundary_awareness
P001_S1_B1_L1,0.35,0.00,0.05,0.00
P001_S1_B1_L2,0.35,0.00,0.05,0.00
P001_S1_B1_L3,0.35,0.00,0.05,0.00
P001_S1_B1_L4,0.35,0.05,0.05,0.00
P001_S1_B1_L5,0.35,0.00,0.05,0.00
P001_S1_B1_L6,0.40,0.00,0.05,0.00
P001_S1_B1_L7,0.30,0.00,0.05,0.00
P001_S1_B1_L8,0.30,0.00,0.05,0.00
P001_S1_B2_L1,0.30,0.00,0.05,0.00
P001_S1_B2_L2,0.20,0.00,0.10,0.00
P001_S1_B2_L3,0.25,0.00,0.05,0.00
P001_S1_B2_L4,0.25,0.00,0.05,0.00
P001_S1_B2_L5,0.20,0.00,0.00,0.00
P001_S1_B2_L6,0.20,0.00,0.00,0.00
P001_S1_B2_L7,0.15,0.00,0.00,0.00
P001_S1_B2_L8,0.35,0.00,0.00,0.00
P001_S1_B3_L1,0.20,0.00,0.00,0.00
P001_S1_B3_L2,0.25,0.00,0.05,0.00
P001_S1_B3_L3,0.20,0.00,0.00,0.00
P001_S1_B3_L4,0.30,0.00,0.05,0.05
P001_S1_B3_L5,0.40,0.00,0.10,0.05
P001_S1_B3_L6,0.35,0.00,0.10,0.10
P001_S1_B3_L7,0.30,0.05,0.05,0.00
P001_S1_B3_L8,0.25,0.00,0.00,0.00
P001_S1_B4_L1,0.20,0.00,0.00,0.00
P001_S1_B4_L2,0.10,0.00,0.00,0.00
P001_S1_B4_L3,0.15,0.00,0.00,0.00
P001_S1_B4_L4,0.20,0.00,0.00,0.00
P001_S1_B4_L5,0.25,0.00,0.00,0.00
P001_S1_B4_L6,0.20,0.05,0.00,0.00
P001_S1_B4_L7,0.15,0.00,0.00,0.00
P001_S1_B4_L8,0.20,0.05,0.00,0.00
P001_S1_B5_L1,0.20,0.00,0.00,0.00
P001_S1_B5_L2,0.10,0.00,0.00,0.00
P001_S1_B5_L3,0.10,0.05,0.00,0.00
P001_S1_B5_L4,0.10,0.00,0.00,0.00
P001_S1_B5_L5,0.20,0.00,0.00,0.00
P001_S1_B5_L6,0.20,0.00,0.00,0.00
P001_S1_B5_L7,0.25,0.00,0.00,0.00
P001_S1_B5_L8,0.25,0.00,0.00,0.00
P001_S1_B5_L9,0.25,0.00,0.00,0.00
